time,AQI,SO2,PM2.5,PM10,NO2,CO,O3_8h
2020/1/1,59,9,42,58,27,0.9,64
2020/1/2,70,11,51,76,29,0.8,64
2020/1/3,85,10,63,92,28,0.9,82
2020/1/4,84,12,62,84,27,1.1,83
2020/1/5,80,10,59,86,31,0.9,130
2020/1/6,57,9,36,64,28,0.5,79
2020/1/7,50,8,25,50,21,0.5,82
2020/1/8,48,10,23,41,22,1.1,96
2020/1/9,72,12,50,93,35,1.3,82
2020/1/10,74,10,54,79,23,1.2,27
2020/1/11,25,8,13,21,20,0.9,26
2020/1/12,40,8,20,28,15,0.8,80
2020/1/13,58,8,41,58,21,0.9,50
2020/1/14,29,7,20,24,18,0.9,35
2020/1/15,29,8,19,29,23,0.8,19
2020/1/16,28,6,12,15,17,1.1,31
2020/1/17,36,6,25,27,12,0.8,50
2020/1/18,57,6,40,48,13,0.7,47
2020/1/19,39,6,27,33,17,0.9,58
2020/1/20,72,6,52,65,21,0.9,48
2020/1/21,67,7,48,69,19,0.8,80
2020/1/22,51,7,34,51,16,0.7,80
2020/1/23,58,6,41,55,15,0.8,51
2020/1/24,35,5,24,27,10,1.1,24
2020/1/25,25,6,14,15,9,1,34
2020/1/26,33,6,8,9,8,1.3,44
2020/1/27,30,5,19,22,6,0.8,60
2020/1/28,40,5,28,32,7,0.8,74
2020/1/29,54,6,38,42,8,0.7,92
2020/1/30,57,7,40,45,9,0.7,101
2020/1/31,68,7,49,54,12,0.7,100
2020/2/1,122,7,92,103,18,0.9,64
2020/2/2,103,6,77,86,13,0.7,48
2020/2/3,25,6,12,12,8,0.7,50
2020/2/4,25,6,12,13,9,0.7,49
2020/2/5,30,6,21,22,9,0.7,36
2020/2/6,26,6,13,14,9,0.6,52
2020/2/7,20,6,8,8,7,0.7,40
2020/2/8,15,5,9,10,7,0.6,28
2020/2/9,24,5,9,10,6,0.6,47
2020/2/10,28,6,19,21,7,0.6,54
2020/2/11,58,7,41,48,14,0.8,37
2020/2/12,79,7,58,65,13,0.9,46
2020/2/13,37,6,16,20,8,0.6,73
2020/2/14,30,7,10,13,6,0.5,59
2020/2/15,32,6,7,9,6,0.5,64
2020/2/16,39,7,8,13,5,0.3,78
2020/2/17,45,9,14,22,7,0.5,89
2020/2/18,49,9,25,33,11,0.6,98
2020/2/19,73,8,53,62,18,0.7,72
2020/2/20,117,7,88,104,20,0.9,89
2020/2/21,85,7,63,78,15,0.8,116
2020/2/22,74,8,54,64,13,0.7,104
2020/2/23,69,7,50,61,14,0.7,108
2020/2/24,53,6,37,49,14,0.6,93
2020/2/25,56,6,37,61,20,0.7,61
2020/2/26,77,7,56,74,21,0.7,80
2020/2/27,64,7,46,62,18,0.7,110
2020/2/28,42,6,29,41,14,0.6,74
2020/2/29,53,6,37,53,20,0.7,80
2020/3/1,36,6,25,30,12,0.7,60
2020/3/2,36,7,25,32,12,0.8,62
2020/3/3,20,7,13,15,11,0.8,31
2020/3/4,23,6,6,7,9,0.7,46
2020/3/5,25,7,13,19,12,0.7,49
2020/3/6,30,7,21,29,19,0.8,39
2020/3/7,31,7,16,26,14,0.8,62
2020/3/8,32,7,21,32,14,0.6,59
2020/3/9,30,7,15,25,11,0.9,59
2020/3/10,49,7,21,30,12,0.8,98
